opcode  case stub  handler body
(jmp [eax*4+0x4782D8] via byte [eax+0x478638], eax = opcode-1, index 215 is the no op default)
0x001  0x47790A  0x478DA0
0x002  0x477917  0x478D40
0x003  0x477924  0x479220
0x004  0x477958  0x479230
0x007  0x47793E  0x479020
0x008  0x477B12  0x46F7A0
0x00A  0x477FB1  0x47D3B0
0x00B  0x4778F0  0x479190
0x00C  0x4778FD  0x4791A0
0x00D  0x477C64  0x47ADE0
0x00E  0x477965  0x4793F0
0x00F  0x4779C0  0x479520
0x010  0x4779CD  0x479550
0x011  0x477931  0x4793C0
0x012  0x4779DA  0x4795A0
0x013  0x477A1B  0x47FC20
0x014  0x477B2C  0x479CC0
0x016  0x478192  0x47E8B0
0x018  0x47797F  0x47C7A0
0x019  0x47798C  0x479340
0x01B  0x477861  0x478EC0
0x01C  0x47786E  0x478F20
0x01D  0x47787B  0x478F80
0x01E  0x477888  0x478FE0
0x01F  0x4779E7  0x46F7A0
0x020  0x4779F4  0x46F7A0
0x021  0x477A35  0x4797C0
0x022  0x477A42  0x479920
0x023  0x477AB7  0x479BE0
0x024  0x477972  0x46F7A0
0x025  0x477A90  0x479AB0
0x027  0x477A76  0x479A30
0x028  0x477A83  0x479B20
0x02A  0x477A9D  0x479B60
0x02B  0x477AAA  0x479BD0
0x02D  0x477A01  0x479630
0x02E  0x477A0E  0x479710
0x030  0x477A28  0x479760
0x031  0x477A4F  0x479950
0x032  0x477AF8  0x479C70
0x033  0x477A5C  0x4799B0
0x034  0x477A69  0x479A10
0x035  0x477AC4  0x479C20
0x036  0x477AD1  0x46F7A0
0x037  0x477ADE  0x46F7A0
0x038  0x477AEB  0x46F7A0
0x039  0x477B05  0x479CB0
0x03A  0x477B1F  0x47AE00
0x03C  0x477B94  0x47A5C0
0x03D  0x477BA1  0x47A6B0
0x03E  0x477B39  0x479D60
0x03F  0x477B46  0x47A050
0x040  0x477B53  0x47FD30
0x042  0x477B60  0x47A0A0
0x043  0x477B6D  0x46F7A0
0x044  0x477B7A  0x47A0E0
0x045  0x477BEF  0x47A560
0x046  0x477B87  0x47A760
0x047  0x477BAE  0x47A110
0x048  0x477BBB  0x46F7A0
0x049  0x477C09  0x47AAD0
0x04B  0x477BD5  0x47A460
0x04D  0x4778D6  0x4790C0
0x04E  0x4778E3  0x479160
0x054  0x477BFC  0x47AA00
0x057  0x477C16  0x47AB40
0x058  0x477C23  0x47ABE0
0x05C  0x477BE2  0x47A500
0x05F  0x47827C  0x47EE70
0x062  0x477C30  0x479580
0x063  0x477C3D  0x47AC30
0x064  0x477C4A  0x47ACD0
0x065  0x477C57  0x47AD60
0x066  0x477BC8  0x46F7A0
0x068  0x477C71  0x47AE30
0x069  0x477C7E  0x47AF00
0x06A  0x477C8B  0x47AFE0
0x06C  0x477C98  0x47B030
0x06D  0x477CA5  0x46F7A0
0x06E  0x477CB2  0x47B190
0x06F  0x477CCC  0x47B3C0
0x070  0x478262  0x47B300
0x071  0x47826F  0x47B300
0x072  0x477CE6  0x47B550
0x073  0x477CD9  0x47B570
0x074  0x477CF3  0x47B620
0x076  0x477895  0x47B1B0
0x077  0x477CBF  0x47B340
0x078  0x4778A2  0x47B220
0x079  0x4778AF  0x47B290
0x07A  0x477D00  0x47B4F0
0x07B  0x477D0D  0x47B670
0x07D  0x477D1A  0x47B6B0
0x07E  0x477D34  0x46F7A0
0x07F  0x477D27  0x46F7A0
0x080  0x477D41  0x46F7A0
0x081  0x477D5B  0x47B8A0
0x082  0x477D4E  0x47B710
0x083  0x477D68  0x47B7D0
0x084  0x477D75  0x47B8D0
0x085  0x477D82  0x47B900
0x086  0x477D8F  0x46F7A0
0x087  0x478289  0x47DC10
0x088  0x4778BC  0x47B930
0x08A  0x477D9C  0x47B990
0x08B  0x477DB6  0x46F7A0
0x08C  0x477DC3  0x47B9E0
0x08D  0x477DA9  0x46F7A0
0x08F  0x4781AC  0x47E950
0x090  0x47805A  0x47DF30
0x091  0x477DD0  0x46F7A0
0x092  0x477DDD  0x46F7A0
0x093  0x477DEA  0x46F7A0
0x094  0x477DF7  0x46F7A0
0x095  0x477E04  0x47BE00
0x096  0x477E11  0x47BD80
0x097  0x477E1E  0x47BE00
0x098  0x477E38  0x47BEF0
0x099  0x477E2B  0x47BE80
0x09A  0x477E45  0x47BF80
0x09B  0x477E52  0x47C270
0x09C  0x477E5F  0x47C2A0
0x09D  0x477E6C  0x47C2D0
0x09E  0x477E79  0x47C320
0x09F  0x477E86  0x47C370
0x0A0  0x477E93  0x46F7A0
0x0A1  0x477EA0  0x47C930
0x0A2  0x4778C9  0x47C960
0x0A3  0x477EAD  0x47C3C0
0x0A4  0x477EBA  0x47C770
0x0A5  0x477EC7  0x47C830
0x0A7  0x47794B  0x479080
0x0AA  0x477F15  0x47CBA0
0x0AB  0x477ED4  0x47C9C0
0x0AC  0x477EE1  0x47C9F0
0x0AD  0x477EEE  0x47CAE0
0x0AE  0x477EFB  0x47CB00
0x0AF  0x477F08  0x47CB30
0x0B0  0x477F22  0x47CC20
0x0B4  0x477999  0x47CD60
0x0B5  0x4779A6  0x47CF80
0x0B6  0x4779B3  0x47AC60
0x0B7  0x477F2F  0x484F50
0x0B8  0x477F3C  0x484690
0x0B9  0x477F49  0x484770
0x0BA  0x477F56  0x484B10
0x0BB  0x477F63  0x46F7A0
0x0BC  0x477F70  0x484D90
0x0BE  0x4777EC  0x478B50
0x0BF  0x4777F9  0x47F390
0x0C0  0x477806  0x47F4F0
0x0C1  0x477813  0x47F6B0
0x0C2  0x477820  0x47F800
0x0C3  0x47782D  0x47F990
0x0C4  0x47783A  0x478C40
0x0C5  0x477847  0x47FAE0
0x0C6  0x477854  0x478CB0
0x0C9  0x477F8A  0x47CD20
0x0CD  0x477F97  0x47D1C0
0x0CE  0x477FA4  0x47D250
0x0CF  0x477FBE  0x47D4A0
0x0D0  0x477FCB  0x47D520
0x0D9  0x477FD8  0x47D540
0x0ED  0x477FE5  0x47D5E0
0x0EE  0x477FF2  0x47D880
0x0F0  0x477FFF  0x47D930
0x0F1  0x47800C  0x47D970
0x0F3  0x478019  0x47DAA0
0x0F4  0x478026  0x47DB00
0x0F5  0x47804D  0x47DD10
0x0F6  0x478033  0x47DC70
0x0F7  0x478040  0x47DCA0
0x0F8  0x478067  0x47DFA0
0x0F9  0x478074  0x47E350
0x0FB  0x478081  0x47DB60
0x0FC  0x47808E  0x47DBB0
0x0FE  0x4782A3  0x47F270
0x100  0x4782B0  0x47F2C0
0x101  0x4782BD  0x47F2F0
0x102  0x4782CA  0x47F340
0x103  0x47809B  0x4800D0
0x104  0x4780A8  0x47E3A0
0x107  0x4780E9  0x47E400
0x108  0x4780F6  0x480210
0x109  0x478103  0x47E4C0
0x10A  0x478110  0x47E500
0x10B  0x47811D  0x47E530
0x10C  0x4780B5  0x47FF70
0x10D  0x4780C2  0x47D9A0
0x10E  0x4780CF  0x47D9D0
0x10F  0x4780DC  0x47DA00
0x112  0x477F7D  0x484EB0
0x114  0x47812A  0x47E620
0x115  0x478137  0x47E680
0x116  0x478144  0x47E6D0
0x117  0x478151  0x47E750
0x118  0x47815E  0x47E780
0x119  0x47816B  0x47E800
0x11A  0x478178  0x47E880
0x11B  0x478185  0x47E880
0x11C  0x47819F  0x47E8E0
0x11D  0x4781B9  0x47E980
0x11E  0x4781C6  0x47E9B0
0x11F  0x4781D3  0x47EA10
0x120  0x4781E0  0x47EA70
0x122  0x4781ED  0x47EB70
0x123  0x4781FA  0x47EAE0
0x124  0x478207  0x47EB10
0x125  0x478214  0x47EBB0
0x126  0x478221  0x47EC00
0x12E  0x47822E  0x47ED40
0x12F  0x47823B  0x47ED90
0x131  0x478248  0x478E80
0x132  0x478255  0x47EE30
0x135  0x478296  0x47EEF0
