opcode  sites  callsites (BeginPacket 0x44ECD0, resync disasm plus a register model)
0x004   1  0x480630
0x007   1  0x480464
0x018   1  0x480724
0x019   1  0x481815
0x025   1  0x4807E4
0x026   1  0x480884
0x029   1  0x480924
0x02C   1  0x481044
0x02D   1  0x480D23
0x02F   1  0x480F96
0x033   1  0x480E14
0x035   1  0x480EB4
0x039   6  0x40DABD 0x40DC2B 0x40DD1B 0x40DEFC
0x040   1  0x4818D5
0x041   1  0x481104
0x047   1  0x481264
0x049   1  0x4811B4
0x04B   1  0x48139A
0x04D   1  0x4790F4
0x057   1  0x481554
0x058   1  0x481624
0x05C   1  0x4814AA
0x05F   1  0x483E34
0x064   1  0x4816D4
0x065   1  0x481774
0x067   1  0x481A14
0x068   1  0x481AB4
0x069   1  0x481B94
0x06A   1  0x481C54
0x06C   1  0x481D04
0x06D   1  0x481DA4
0x06E   1  0x481E86
0x06F   1  0x481F40
0x070   1  0x482124
0x071   1  0x482084
0x072   1  0x482304
0x074   1  0x4821C4
0x07A   1  0x481FF0
0x07B   1  0x482264
0x07D   1  0x4823A4
0x07E   1  0x4824E4
0x07F   1  0x482444
0x080   1  0x482587
0x081   1  0x482627
0x084   1  0x4826D7
0x085   1  0x482777
0x08C   1  0x43ADDD
0x08D   1  0x482817
0x090   1  0x4835F7
0x098   1  0x482915
0x09A   1  0x4829F7
0x09B   1  0x482A97
0x09C   1  0x482B37
0x0A1   1  0x482BD7
0x0A3   1  0x482C77
0x0A6   1  0x477683
0x0A7   1  0x480538
0x0AA   1  0x482D47
0x0AE   1  0x425641
0x0AF   1  0x42570F
0x0B0   1  0x425850
0x0B1   1  0x42525D
0x0B2   1  0x425515
0x0B4   1  0x480B7E
0x0B5   1  0x480C4A
0x0B7   1  0x484248
0x0B8   1  0x4844E5
0x0B9   1  0x484335
0x0BA   1  0x484415
0x0CB   2  0x482E02 0x482F62
0x0CC   2  0x482E8B 0x48304E
0x0CD   1  0x4831B7
0x0CF   1  0x483257
0x0D0   1  0x483327
0x0D9   1  0x4714B5
0x0ED   1  0x48311E
0x0F2   1  0x4833D7
0x0F5   1  0x483557
0x0F8   1  0x42E50B
0x0FE   1  0x483EE7
0x100   1  0x483F87
0x102   4  0x401F5C 0x401FF0 0x402052 0x4254C3
0x10B   1  0x4836C9
0x10F   1  0x483491
0x112   1  0x4845F7
0x114   1  0x4837C7
0x118   1  0x4838C2
0x121   1  0x4839D7
0x123   1  0x483A77
0x125   1  0x483B17
0x12F   1  0x483BB7
0x130   1  0x483C57
0x132   1  0x483CF7
0x133   1  0x483D97
